cue,Color,Texture,Shape,Task,cue_stim,Trial_type,pic,pic_stim,img_path,subRespo_T,Photo_Prez,Cue_Prez_T,trial_Corr,rt,What_Is_CorrResp,Subject_Respo,trial_n
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc36.jpg,4.512050260589604,4.025342022345285,3.0100981844589114,1,23.095474327230477,1,1,0
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\163.jpg,7.376059687016095,6.937946435162303,5.93271993979215,1,25.959482470450894,0,0,1
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\41.jpg,9.8401543182772,9.421703621912457,8.407751009403,1,28.423588008958177,1,1,2
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc20.jpg,12.848046672745113,12.389847407637717,11.384694696578663,1,31.431468493778084,1,1,3
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\131.jpg,15.680032747401128,14.882722089161689,13.864367119917006,1,34.2634545684341,0,0,4
fpb,blue,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', interpolate=True, lineColor='blue', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",IDS,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc128.jpg,18.544166323947138,18.022616173395363,17.016286121430312,1,37.12757852093637,0,0,5
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\21.jpg,21.504064552929776,21.08440058591441,20.06715815570351,1,40.08750145162412,0,0,6
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\131.jpg,23.95202287698703,23.552632912807894,22.540113640665368,1,42.535443735614535,1,1,7
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",IDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\152.jpg,26.703996928008564,26.208163174960646,25.180324035016383,1,45.2874335059023,0,0,8
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\107.jpg,29.568002504816832,28.957517562270368,27.94422740452137,1,48.15143779950813,0,0,9
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc36.jpg,32.51211955367762,32.01929491716146,30.99614749675675,1,51.09555228195313,1,1,10
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc89.jpg,35.05601512129215,34.674856297042425,33.645530884507025,1,53.639435338318435,1,1,11
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",IDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\185.jpg,37.8080045707793,37.40970148152701,36.38303872007964,1,56.391423825400125,1,1,12
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc81.jpg,40.54396550231104,39.97160683614857,38.942355207924265,1,59.12740272180599,0,0,13
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",IDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\83.jpg,43.34398949824754,42.799849800816446,41.77789159096574,1,61.927411960885365,0,0,14
fpb,blue,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', interpolate=True, lineColor='blue', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",IDS,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc122.jpg,46.19209102802415,45.59608866179042,44.581802736694954,0,64.77550354581399,0,1,15
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc5.jpg,49.66394873081663,48.767217888911546,47.74792489656102,1,68.24738627111219,0,0,16
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\133.jpg,52.31999195430399,51.828967013283545,50.811669726044784,1,70.90342821139711,1,1,17
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\54.jpg,55.391982982131594,54.76849596143438,53.749236974024825,1,73.97539646233054,0,0,18
dcb,blue,Donut,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=100, name='circle_donut', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",EDS,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc104.jpg,58.12809244468008,57.439745809853775,56.43567997372156,1,76.71150464167295,1,1,19
